announced_date,region,number_of_facilities,total_number_of_quarantine_people,total_covid_confirmed_cases,new_positive_within_24hrs,deceased,new_deceased,ref
2020-07-30,Kayin,365,2326,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Shan (North),269,201,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Tanintharyi,189,1708,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Shan (South),92,664,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Mon,261,2626,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Rakhine,253,792,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Shan (East),9,56,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Ayeyarwady,169,656,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Magway,304,1638,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Sagaing,174,996,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Kayah,18,89,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Chin,16,83,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Nay Pyi Taw,1,296,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-30,Kachin,426,614,,,,,http://mohs.gov.mm/su/owux5949OW
2020-07-31,Yangon,55,"3,252",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Mandalay,66,903,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Bago,239,"2,422",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Kayin,381,"2,351",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Shan (North),269,243,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Tanintharyi,189,"1,680",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Shan (South),79,535,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Mon,258,"2,532",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Rakhine,253,779,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Shan (East),9,6,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Ayeyarwady,167,615,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Magway,418,"1,538",,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Sagaing,170,994,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Kayah,18,89,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Chin,16,66,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Nay Pyi Taw,1,274,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-07-31,Kachin,426,619,,,,,http://mohs.gov.mm/su/igbk3792IG
2020-01-08,Yangon,55,3259,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Mandalay,66,841,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Bago,232,2338,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Kayin,372,2282,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Shan (North),269,239,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Tanintharyi,189,1680,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Shan (South),79,509,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Mon,258,2532,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Rakhine,247,746,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Shan (East),9,6,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Ayeyarwady,167,598,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Sagaing,170,1033,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Kayah,18,85,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Chin,17,61,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Nay Pyi Taw,1,274,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-01-08,Kachin,426,615,,,,,http://mohs.gov.mm/su/ieov3924IE
2020-02-08,Yangon,54,3240,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Mandalay,66,806,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Bago,223,2301,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Kayin,356,2253,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Shan (North),269,239,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Tanintharyi,189,1699,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Shan (South),79,509,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Mon,257,2448,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Rakhine,247,742,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Shan (East),9,4,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Ayeyarwady,167,595,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Sagaing,170,1019,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Kayah,18,81,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Chin,17,61,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Nay Pyi Taw,1,274,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-02-08,Kachin,426,612,,,,,http://mohs.gov.mm/su/ssec7446SS
2020-03-08,Yangon,54,3241,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Mandalay,66,783,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Bago,222,2322,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Kayin,355,2206,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Shan (North),269,239,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Tanintharyi,189,1699,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Shan (South),79,534,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Mon,256,2491,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Rakhine,247,749,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Shan (East),9,2,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Ayeyarwady,167,576,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Sagaing,170,1002,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Kayah,18,80,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Chin,18,59,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Nay Pyi Taw,1,265,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-03-08,Kachin,426,560,,,,,http://mohs.gov.mm/su/ymlh9335YM
2020-04-08,Yangon,57,3756,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Mandalay,62,770,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Bago,213,2194,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Kayin,349,1972,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Shan (North),270,221,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Tanintharyi,189,1666,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Shan (South),79,551,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Mon,268,2439,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Rakhine,247,735,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Shan (East),9,3,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Ayeyarwady,156,539,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Sagaing,170,939,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Kayah,18,79,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Chin,18,57,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Nay Pyi Taw,1,265,,,,,http://mohs.gov.mm/su/junf4429JU
2020-04-08,Kachin,427,589,,,,,http://mohs.gov.mm/su/junf4429JU
2020-05-08,Yangon,57,3756,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Mandalay,62,770,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Bago,214,2275,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Kayin,357,2341,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Shan (North),270,221,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Tanintharyi,189,1643,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Shan (South),79,523,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Mon,268,2439,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Rakhine,248,728,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Shan (East),9,338,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Ayeyarwady,156,598,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Sagaing,170,917,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Kayah,18,146,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Chin,18,57,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Nay Pyi Taw,1,267,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-05-08,Kachin,429,525,,,,,http://mohs.gov.mm/su/mlmk5197ML
2020-06-08,Yangon,58,3756,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Mandalay,58,856,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Bago,211,2361,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Kayin,364,2433,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Shan (North),271,144,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Tanintharyi,189,1580,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Shan (South),79,590,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Mon,271,2595,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Rakhine,244,707,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Shan (East),7,100,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Ayeyarwady,149,575,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Magway,418,1538,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Sagaing,169,902,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Kayah,18,146,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Chin,18,54,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Nay Pyi Taw,1,264,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-06-08,Kachin,431,520,,,,,http://mohs.gov.mm/su/imgv3946IM
,Yangon,58,3752,,,,,http://mohs.gov.mm/su/imgv3946IM
,Mandalay,58,857,,,,,http://mohs.gov.mm/su/imgv3946IM
,Bago,192,2404,,,,,http://mohs.gov.mm/su/imgv3946IM
,Kayin,361,2565,,,,,http://mohs.gov.mm/su/imgv3946IM
,Shan (North),271,144,,,,,http://mohs.gov.mm/su/imgv3946IM
,Tanintharyi,189,1597,,,,,http://mohs.gov.mm/su/imgv3946IM
,Shan (South),79,612,,,,,http://mohs.gov.mm/su/imgv3946IM
,Mon,259,2596,,,,,http://mohs.gov.mm/su/imgv3946IM
,Rakhine,244,695,,,,,http://mohs.gov.mm/su/imgv3946IM
,Shan (East),7,103,,,,,http://mohs.gov.mm/su/imgv3946IM
,Ayeyarwady,149,589,,,,,http://mohs.gov.mm/su/imgv3946IM
,Magway,407,1216,,,,,http://mohs.gov.mm/su/imgv3946IM
,Sagaing,168,903,,,,,http://mohs.gov.mm/su/imgv3946IM
,Kayah,18,85,,,,,http://mohs.gov.mm/su/imgv3946IM
,Chin,18,51,,,,,http://mohs.gov.mm/su/imgv3946IM
,Nay Pyi Taw,1,280,,,,,http://mohs.gov.mm/su/imgv3946IM
,Kachin,114,508,,,,,http://mohs.gov.mm/su/imgv3946IM
2020-08-08,Yangon,60,3974,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Mandalay,59,950,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Bago,187,2425,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Kayin,367,2524,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Shan (North),269,151,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Tanintharyi,189,1625,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Shan (South),79,612,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Mon,263,2596,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Rakhine,245,685,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Shan (East),7,104,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Ayeyarwady,149,605,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Magway,407,1216,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Sagaing,168,898,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Kayah,18,93,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Chin,18,52,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Nay Pyi Taw,2,299,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-08-08,Kachin,111,487,,,,,http://mohs.gov.mm/su/gwdv3115GW
2020-09-08,Yangon,60,3904,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Mandalay,59,966,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Bago,192,2538,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Kayin,385,2559,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Shan (North),270,146,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Tanintharyi,189,1625,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Shan (South),79,610,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Mon,255,2768,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Rakhine,236,673,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Shan (East),7,47,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Ayeyarwady,150,623,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Magway,407,1216,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Sagaing,168,931,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Kayah,18,95,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Chin,19,64,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Nay Pyi Taw,2,316,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-09-08,Kachin,111,485,,,,,http://mohs.gov.mm/su/smjf7530SM
2020-10-08,Yangon,63,4071,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Mandalay,60,963,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Bago,196,2639,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Kayin,364,2505,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Shan (North),268,96,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Tanintharyi,189,1722,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Shan (South),85,582,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Mon,251,2780,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Rakhine,236,673,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Shan (East),7,47,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Ayeyarwady,150,645,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Magway,407,1216,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Sagaing,168,983,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Kayah,18,91,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Chin,19,68,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Nay Pyi Taw,2,322,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-10-08,Kachin,111,467,,,,,http://mohs.gov.mm/su/yucz9315YU
2020-11-08,Yangon,63,3912,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Mandalay,62,978,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Bago,201,2623,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Kayin,367,2594,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Shan (North),268,87,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Tanintharyi,189,1683,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Shan (South),85,592,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Mon,226,2774,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Rakhine,236,668,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Shan (East),7,44,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Ayeyarwady,150,609,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Magway,407,1216,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Sagaing,169,934,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Kayah,18,92,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Chin,19,71,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Nay Pyi Taw,2,324,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-11-08,Kachin,111,456,,,,,http://mohs.gov.mm/su/fhrv2918FH
2020-12-08,Yangon,63,3838,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Mandalay,62,1003,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Bago,198,2606,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Kayin,375,2531,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Shan (North),255,213,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Tanintharyi,189,1637,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Shan (South),79,664,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Mon,227,2852,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Rakhine,231,669,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Shan (East),7,44,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Ayeyarwady,150,637,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Magway,407,1216,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Sagaing,169,906,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Kayah,18,89,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Chin,19,67,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Nay Pyi Taw,2,340,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-12-08,Kachin,111,435,,,,,http://mohs.gov.mm/su/kvfn4635KV
2020-08-13,Yangon,66,4039,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Mandalay,67,1015,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Bago,198,2568,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Kayin,367,2523,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Shan (North),263,122,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Tanintharyi,189,1613,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Shan (South),79,674,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Mon,224,2734,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Rakhine,231,665,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Shan (East),7,44,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Ayeyarwady,108,662,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Magway,407,1216,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Sagaing,169,879,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Kayah,18,87,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Chin,19,56,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Nay Pyi Taw,2,336,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-13,Kachin,111,436,,,,,http://mohs.gov.mm/su/kqzx4774KQ
2020-08-14,Yangon,66,4032,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Mandalay,61,971,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Bago,192,2569,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Kayin,376,2550,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Shan (North),263,120,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Tanintharyi,189,1597,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Shan (South),79,674,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Mon,205,2646,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Rakhine,222,652,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Shan (East),7,46,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Ayeyarwady,98,607,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Magway,407,1216,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Sagaing,169,921,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Kayah,18,91,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Chin,19,53,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Nay Pyi Taw,2,323,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-14,Kachin,17,425,,,,,http://mohs.gov.mm/su/cgej1900CG
2020-08-15,Yangon,66,4027,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Mandalay,62,934,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Bago,190,2510,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Kayin,370,2464,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Shan (North),263,114,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Tanintharyi,189,1587,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Shan (South),81,643,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Mon,197,2588,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Rakhine,217,645,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Shan (East),7,45,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Ayeyarwady,99,592,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Magway,407,1216,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Sagaing,169,911,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Kayah,18,88,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Chin,18,56,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Nay Pyi Taw,2,302,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-15,Kachin,91,417,,,,,http://mohs.gov.mm/su/dmos2145DM
2020-08-16,Yangon,67,4255,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Mandalay,62,954,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Bago,188,2452,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Kayin,376,2377,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Shan (North),263,114,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Tanintharyi,189,1544,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Shan (South),81,601,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Mon,215,2596,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Rakhine,220,657,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Shan (East),7,48,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Ayeyarwady,72,589,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Magway,407,1216,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Sagaing,168,919,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Kayah,18,90,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Chin,18,58,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Nay Pyi Taw,3,313,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-16,Kachin,91,455,,,,,http://mohs.gov.mm/su/haam3754HA
2020-08-17,Yangon,67,4491,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Mandalay,66,983,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Bago,187,2447,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Kayin,380,2411,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Shan (North),265,110,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Tanintharyi,189,1673,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Shan (South),81,603,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Mon,215,2624,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Rakhine,218,652,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Shan (East),7,48,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Ayeyarwady,72,580,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Magway,407,1216,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Sagaing,168,918,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Kayah,18,91,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Chin,18,60,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Nay Pyi Taw,3,308,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-17,Kachin,91,448,,,,,http://mohs.gov.mm/su/cnsp1738CN
2020-08-18,Yangon,67,4549,,,,,http://mohs.gov.mm/su/qkjo6600QK
2020-08-18,Mandalay,69,977,,,,,http://mohs.gov.mm/su/qkjo6600QK
